Rank,Club,Country,Level,Elo,From,To
None,Mlada Boleslav,CZE,1,1339.52575684,2025-09-14,2025-09-17
None,Lechia,POL,1,1339.28967285,2025-09-13,2025-09-21
None,Trnava,SLK,0,1339.08483887,2025-08-29,2025-10-02
None,Zilina,SLK,0,1338.80725098,2025-08-29,2025-10-02
None,Sheriff Tiraspol,MOL,0,1337.35595703,2025-08-15,2025-11-30
None,CSKA Sofia,BUL,1,1335.84423828,2025-09-14,2025-09-18
None,Karvina,CZE,1,1334.32128906,2025-09-14,2025-09-17
None,Olimpija Ljubljana,SVN,1,1332.34106445,2025-09-14,2025-09-20
None,Koper,SVN,1,1330.12609863,2025-09-15,2025-09-20
None,Kosice,SLK,0,1329.74926758,2025-08-29,2025-10-02
None,Sochi,RUS,1,1328.52661133,2025-08-31,2025-11-30
None,Kristiansund,NOR,1,1327.70117188,2025-09-13,2025-09-17
None,Cherno More,BUL,1,1326.66088867,2025-09-16,2025-09-22
None,Norrkoeping,SWE,1,1325.22399902,2025-09-14,2025-09-22
None,Viitorul,ROM,1,1325.18017578,2025-09-15,2025-09-22
None,OFI,GRE,1,1323.41516113,2025-09-15,2025-09-17
None,Istra 1961,CRO,1,1322.89123535,2025-09-13,2025-09-21
None,Osijek,CRO,1,1322.81726074,2025-09-15,2025-09-21
None,Varazdin,CRO,1,1322.58093262,2025-09-14,2025-09-20
None,Thun,SUI,1,1320.63598633,2025-09-14,2025-09-24
None,Kilmarnock,SCO,1,1319.78088379,2025-09-15,2025-09-24
None,Motherwell,SCO,1,1319.16442871,2025-09-14,2025-09-24
None,Ham-Kam,NOR,1,1318.87792969,2025-09-15,2025-09-17
None,Polissya Zhytomyr,UKR,1,1318.49768066,2025-09-15,2025-09-20
None,Dundee United,SCO,1,1318.23718262,2025-09-14,2025-09-23
None,Lok Zagreb,CRO,1,1317.84960938,2025-09-14,2025-09-20
None,Stromsgodset,NOR,1,1317.4876709,2025-09-15,2025-09-17
None,BW Linz,AUT,1,1316.35375977,2025-09-14,2025-09-21
None,Arka,POL,1,1316.11303711,2025-09-15,2025-09-20
None,Fatih Karaguemruek,TUR,1,1314.92004395,2025-09-14,2025-09-17
None,Asteras Tripolis,GRE,1,1314.17602539,2025-09-15,2025-09-17
None,Nizhny Novgorod,RUS,1,1313.69348145,2025-08-31,2025-11-30
None,Beitar,ISR,1,1309.62304688,2025-09-16,2025-09-20
None,Olexandriya,UKR,1,1309.22375488,2025-09-13,2025-09-22
None,Winterthur,SUI,1,1308.86083984,2025-09-15,2025-09-24
None,Zira,AZE,0,1308.82946777,2025-08-28,2025-09-16
None,Kolos,UKR,1,1307.24377441,2025-09-15,2025-09-20
None,Altach,AUT,1,1306.74743652,2025-09-14,2025-09-21
None,Botosani,ROM,1,1306.51000977,2025-09-15,2025-09-19
None,UTA Arad,ROM,1,1305.42712402,2025-08-30,2025-09-21
None,Kocaelispor,TUR,1,1305.11877441,2025-09-15,2025-09-18
None,Teplice,CZE,1,1304.87646484,2025-09-14,2025-09-17
None,Panetolikos,GRE,1,1304.43603516,2025-09-14,2025-09-17
None,Slaven Belupo,CRO,1,1303.45825195,2025-09-13,2025-09-21
None,Kryvbas,UKR,1,1303.20703125,2025-09-15,2025-09-28
None,Nakchivan,AZE,0,1302.94555664,2025-08-28,2025-09-16
None,Kairat,KAZ,0,1301.77697754,2025-08-27,2025-09-18
None,Aberdeen,SCO,1,1301.1328125,2025-09-14,2025-09-23
None,Sabah,AZE,0,1300.93322754,2025-08-28,2025-09-16
None,Genclerbirligi,TUR,1,1298.22485352,2025-09-16,2025-09-18
None,Debrecen,HUN,1,1296.61157227,2025-09-01,2025-09-21
None,Wattens,AUT,1,1296.53491211,2025-09-15,2025-09-21
None,St Patricks,IRL,0,1295.68737793,2025-08-29,2025-10-02
None,Hermannstadt,ROM,1,1295.53833008,2025-09-16,2025-09-21
None,Slovacko,CZE,1,1294.20495605,2025-09-15,2025-09-17
None,Otelul Galati,ROM,1,1292.56677246,2025-09-15,2025-09-20
None,Bryne,NOR,1,1292.47302246,2025-09-15,2025-09-17
None,Halmstad,SWE,1,1291.73217773,2025-09-14,2025-09-22
None,Dukla,CZE,1,1289.70849609,2025-09-14,2025-09-17
None,Ried,AUT,1,1289.68713379,2025-09-15,2025-09-20
None,Hapoel Jerusalem,ISR,1,1288.82946777,2025-09-15,2025-09-20
None,Tescoma Zlin,CZE,1,1286.73132324,2025-09-14,2025-09-17
None,Netanya,ISR,1,1284.83203125,2025-09-01,2025-09-20
None,Vaduz,LIE,0,1283.4017334,2025-08-29,2025-09-24
None,FK Riga,LAT,0,1283.32739258,2025-08-29,2025-11-30
None,NFC Volos,GRE,1,1282.44250488,2025-09-14,2025-09-17
None,Pyunik,ARM,0,1281.22741699,2025-08-29,2025-10-02
None,Varnamo,SWE,1,1280.63793945,2025-09-15,2025-09-22
None,Zrinjski Mostar,BHZ,0,1279.40356445,2025-08-29,2025-10-02
None,Vikingur,ISL,0,1279.02172852,2025-08-29,2025-10-02
None,Noah,ARM,0,1278.88244629,2025-08-29,2025-10-02
None,Kuopio,FIN,0,1278.08679199,2025-08-29,2025-10-02
None,Zorya,UKR,1,1276.30163574,2025-09-15,2025-09-22
None,MTK,HUN,1,1274.98449707,2025-08-31,2025-09-21
None,Novi Sad,SRB,1,1273.29150391,2025-09-14,2025-09-20
None,Diosgyori,HUN,1,1272.97766113,2025-08-31,2025-09-19
None,Dundee,SCO,1,1272.70141602,2025-09-14,2025-09-20
None,Oester,SWE,1,1271.81982422,2025-09-15,2025-09-20
None,Shelbourne,IRL,0,1270.796875,2025-08-29,2025-10-02
None,Aarau,SUI,1,1270.26574707,2025-08-29,2025-09-24
None,Metalist 1925,UKR,1,1270.24462891,2025-09-14,2025-09-21
None,HNK Gorica,CRO,1,1269.15734863,2025-09-15,2025-09-21
None,Zalaegerszegi,HUN,1,1266.03015137,2025-08-31,2025-09-21
None,Bnei Sakhinin,ISR,1,1263.54052734,2025-08-31,2025-09-21
None,Ashdod,ISR,1,1260.29541016,2025-09-16,2025-09-20
None,Arges Pitesti,ROM,1,1258.81054688,2025-08-29,2025-09-25
None,Petrolul Ploiesti,ROM,1,1257.48571777,2025-09-16,2025-09-21
None,Arda,BUL,1,1256.70959473,2025-09-14,2025-09-18
None,Bravo,SVN,1,1256.24060059,2025-09-15,2025-09-20
None,Unirea Slobozia,ROM,1,1255.62634277,2025-09-16,2025-09-21
None,GAK,AUT,1,1251.63098145,2025-09-14,2025-09-21
None,Derry City,IRL,0,1251.32104492,2025-08-29,2025-10-02
None,Ujpest,HUN,1,1248.77258301,2025-08-31,2025-09-20
None,Pardubice,CZE,1,1246.54162598,2025-09-15,2025-09-17
None,Aktobe,KAZ,0,1245.99890137,2025-08-27,2025-09-18
None,Rukh Lviv,UKR,1,1244.81567383,2025-09-14,2025-09-21
None,Panserraikos,GRE,1,1243.82763672,2025-09-14,2025-09-17
None,Kifisias,GRE,1,1243.68640137,2025-09-15,2025-09-17
None,Ararat,ARM,0,1240.85510254,2025-08-29,2025-10-02
None,Kisvarda,HUN,1,1240.08642578,2025-08-31,2025-09-21
None,HJK Helsinki,FIN,0,1240.02612305,2025-08-29,2025-10-02
None,Karpaty,UKR,1,1240.01330566,2025-09-15,2025-09-22
None,Obolon Kyiv,UKR,1,1239.89953613,2025-09-14,2025-09-22
None,Larisa,GRE,1,1233.25061035,2025-09-15,2025-09-17
None,CSKA 1948 Sofia,BUL,1,1231.83081055,2025-09-16,2025-09-20
None,Haugesund,NOR,1,1226.84204102,2025-09-15,2025-09-17
None,Backa Topola,SRB,1,1226.50524902,2025-09-15,2025-09-21
None,Degerfors,SWE,1,1223.08374023,2025-09-14,2025-09-21
None,RFS,LAT,0,1221.79467773,2025-08-29,2025-11-30
None,Drita,KOS,0,1221.13330078,2025-08-29,2025-10-02
None,Veres,UKR,1,1220.41894531,2025-09-13,2025-09-20
None,LNZ,UKR,1,1218.29187012,2025-09-13,2025-09-21
None,Maccabi Bnei Raina,ISR,1,1217.20568848,2025-08-31,2025-09-20
None,Zeljeznicar,BHZ,0,1216.4083252,2025-08-29,2025-10-02
None,H Tel Aviv,ISR,1,1215.36547852,2025-09-16,2025-09-20
None,Livingston,SCO,1,1214.64819336,2025-09-14,2025-09-20
None,Ironi Tiberias,ISR,1,1214.36572266,2025-08-31,2025-09-20
None,Breidablik,ISL,0,1214.30004883,2025-08-29,2025-10-02
None,Nyiregyhaza,HUN,1,1211.44641113,2025-09-01,2025-09-20
None,Shkendija,MAC,0,1210.64196777,2025-08-29,2025-10-02
None,FK Sarajevo,BHZ,0,1209.88720703,2025-08-29,2025-10-02
None,Borac Banja Luka,BHZ,0,1209.48791504,2025-08-29,2025-10-02
None,Lok Plovdiv,BUL,1,1207.58898926,2025-09-15,2025-09-20
None,Novi Pazar,SRB,1,1206.63745117,2025-09-14,2025-09-20
None,Valur,ISL,0,1205.27124023,2025-08-29,2025-10-02
None,Ordabasy,KAZ,0,1204.84570312,2025-08-27,2025-09-18
None,Dinamo Minsk,BLR,0,1202.69592285,2025-08-29,2025-11-30
None,Falkirk,SCO,1,1201.6192627,2025-09-14,2025-09-23
None,Kazincbarcika,HUN,1,1201.02722168,2025-08-30,2025-09-20
None,Csikszereda,ROM,1,1199.66259766,2025-09-15,2025-09-22
None,Ilves Tampere,FIN,0,1198.74926758,2025-08-29,2025-10-02
None,H Petach Tikva,ISR,1,1196.5423584,2025-08-31,2025-09-16
None,Akureyri,ISL,0,1193.38659668,2025-08-29,2025-10-02
None,Kragujevac,SRB,1,1193.19750977,2025-09-14,2025-09-20
None,Lok Sofia,BUL,1,1192.70532227,2025-09-15,2025-09-20
None,Klaksvik,FAR,0,1189.47119141,2025-08-15,2025-11-30
None,Metaloglobus,ROM,1,1189.32165527,2025-09-14,2025-09-22
None,Dinamo Tirana,ALB,0,1183.72375488,2025-08-29,2025-11-30
None,Botev Plovdiv,BUL,1,1179.94384766,2025-09-13,2025-09-21
None,Auda,LAT,0,1179.07116699,2025-08-29,2025-11-30
None,Neman Grodno,BLR,0,1179.02648926,2025-08-29,2025-11-30
None,Ballkani,KOS,0,1176.96459961,2025-08-29,2025-10-02
None,Seinajoki,FIN,0,1176.55078125,2025-08-29,2025-10-02
None,Banants,ARM,0,1173.95068359,2025-08-29,2025-10-02
None,Beroe Stara Zagora,BUL,1,1173.63708496,2025-09-13,2025-09-21
None,Kiryat Shmona,ISR,1,1173.40783691,2025-08-31,2025-09-20
None,Daugavpils,LAT,0,1171.93493652,2025-08-29,2025-11-30
None,Primorje,SVN,1,1170.1862793,2025-09-15,2025-09-21
None,Cukaricki,SRB,1,1168.20703125,2025-09-14,2025-09-21
None,Zalgiris Vilnius,LIT,0,1167.50366211,2025-08-15,2025-11-30
None,Zeleznicar Pancevo,SRB,1,1166.37207031,2025-09-15,2025-09-20
None,Radomlje,SVN,1,1161.3614502,2025-09-14,2025-09-21
None,Torpedo Kutaisi,GEO,0,1159.65441895,2025-08-01,2025-11-30
None,Petrocub,MOL,0,1159.45922852,2025-08-15,2025-11-30
None,Partizani Tirana,ALB,0,1158.83312988,2025-08-29,2025-11-30
None,Egnatia,ALB,0,1157.89318848,2025-08-29,2025-11-30
None,Aluminij,SVN,1,1154.92578125,2025-09-15,2025-09-19
None,FC Spaeri,GEO,0,1150.32836914,2025-08-01,2025-11-30
None,Dila Gori,GEO,0,1149.45703125,2025-08-01,2025-11-30
None,Saburtalo,GEO,0,1149.44433594,2025-08-01,2025-11-30
None,Slavia Sofia,BUL,1,1147.6640625,2025-09-16,2025-09-21
None,Spartak Varna,BUL,1,1147.18041992,2025-09-14,2025-09-19
None,Mura,SVN,1,1146.22741699,2025-09-14,2025-09-21
None,Vllaznia,ALB,0,1145.86279297,2025-08-29,2025-11-30
None,OFK,SRB,1,1142.27954102,2025-09-14,2025-09-20
None,Kudrivka,UKR,1,1135.85876465,2025-09-13,2025-09-20
None,Kauno Zalgiris,LIT,0,1131.27319336,2025-08-15,2025-11-30
None,Flora Tallinn,EST,0,1130.34899902,2025-08-15,2025-11-30
None,Mladost Lucani,SRB,1,1128.09899902,2025-09-15,2025-09-21
None,SK Poltava,UKR,1,1128.07873535,2025-09-15,2025-09-21
None,Botev Vratsa,BUL,1,1128.05688477,2025-09-13,2025-09-22
None,Episentr,UKR,1,1126.96313477,2025-09-14,2025-09-26
None,Dinamo Brest,BLR,0,1124.85290527,2025-08-29,2025-11-30
None,Hamrun,MLT,0,1124.80505371,2025-08-29,2025-10-02
None,Levski Krumovgrad,BUL,1,1124.65539551,2025-08-29,2025-09-24
None,Zimbru,MOL,0,1121.74816895,2025-08-15,2025-11-30
None,Linfield,NIR,0,1112.89916992,2025-08-29,2025-11-30
None,Banga,LIT,0,1112.11181641,2025-08-15,2025-11-30
None,IMT,SRB,1,1110.3737793,2025-09-14,2025-09-21
None,Torpedo Zhodino,BLR,0,1109.97851562,2025-08-29,2025-11-30
None,Vukovar,CRO,1,1109.04382324,2025-09-15,2025-09-22
None,Milsami Orhei,MOL,0,1106.4597168,2025-08-15,2025-11-30
None,Nis,SRB,1,1106.21276855,2025-09-15,2025-09-21
None,Hegelmann,LIT,0,1105.82922363,2025-08-15,2025-11-30
None,Zlatibor,SRB,1,1104.90075684,2025-09-15,2025-09-20
None,Domzale,SVN,1,1104.00366211,2025-09-15,2025-09-20
None,Septemvri Sofia,BUL,1,1098.81445312,2025-09-14,2025-09-21
None,Decic,MNT,0,1098.27697754,2025-08-01,2025-11-30
None,Krusevac,SRB,1,1094.01611328,2025-09-15,2025-09-19
None,Vardar,MAC,0,1093.296875,2025-08-29,2025-10-02
None,Sileks,MAC,0,1084.62597656,2025-08-29,2025-10-02
None,Paide Linnameeskond,EST,0,1082.51733398,2025-08-15,2025-11-30
None,Sutjeska,MNT,0,1082.15698242,2025-08-01,2025-11-30
None,Ivanjica,SRB,1,1079.39685059,2025-09-14,2025-09-21
None,Montana 1921,BUL,1,1076.63757324,2025-09-13,2025-09-19
None,Rabotnicki,MAC,0,1074.94921875,2025-08-29,2025-10-02
None,Prishtine,KOS,0,1071.87976074,2025-08-29,2025-10-02
None,Nomme Kalju,EST,0,1067.46789551,2025-08-15,2025-11-30
None,Floriana,MLT,0,1066.53234863,2025-08-29,2025-10-02
None,The New Saints,WAL,0,1066.42785645,2025-07-30,2025-11-30
None,Differdang,LUX,0,1064.40563965,2025-08-29,2025-11-30
None,Larne,NIR,0,1059.32751465,2025-08-29,2025-11-30
None,Hibernians Paola,MLT,0,1058.39904785,2025-08-29,2025-10-02
None,R Letzebuerg,LUX,0,1055.80236816,2025-08-29,2025-11-30
None,Birkirkara,MLT,0,1053.95581055,2025-08-29,2025-10-02
None,Dungannon,NIR,0,1052.24328613,2025-08-29,2025-11-30
None,Blagoevgrad,BUL,1,1050.54589844,2025-08-29,2025-09-24
None,FC Infonet,EST,0,1050.10681152,2025-08-15,2025-11-30
None,HB Torshavn,FAR,0,1050.02600098,2025-08-15,2025-11-30
None,Radnik Surdulica,SRB,1,1049.25134277,2025-09-14,2025-09-19
None,Una Strassen,LUX,0,1047.87158203,2025-08-29,2025-11-30
None,Malisheva,KOS,0,1044.98461914,2025-08-29,2025-10-02
None,Dobrudzha,BUL,1,1044.6027832,2025-09-16,2025-09-20
None,Runavik,FAR,0,1039.27258301,2025-08-15,2025-11-30
None,Dudelange,LUX,0,1035.68383789,2025-08-29,2025-11-30
None,Podgorica,MNT,0,1034.60522461,2025-08-01,2025-11-30
None,Hebar,BUL,1,1033.51977539,2025-08-29,2025-09-24
None,Gota,FAR,0,1033.25927734,2025-08-15,2025-11-30
None,Cliftonville,NIR,0,1032.94494629,2025-08-29,2025-11-30
None,Lincoln,GIB,0,1020.64459229,2025-08-29,2025-10-02
None,Escaldes,AND,0,1002.06811523,2025-08-01,2025-11-30
None,Penybont,WAL,0,988.081848145,2025-07-30,2025-11-30
None,Haverfordwest,WAL,0,985.360229492,2025-07-30,2025-11-30
None,Santa Coloma,AND,0,954.305175781,2025-08-01,2025-11-30
None,St Josephs,GIB,0,949.520996094,2025-08-29,2025-10-02
None,Atletic Club Escaldes,AND,0,944.22253418,2025-08-01,2025-11-30
None,FCB Magpies,GIB,0,916.444641113,2025-08-29,2025-10-02
None,SS Virtus,SMR,0,767.627746582,2025-08-29,2025-11-30
None,Tre Fiori,SMR,0,736.193237305,2025-08-29,2025-11-30
None,La Fiorita,SMR,0,716.190124512,2025-08-29,2025-11-30


